,Name,Sector,City,Address,Phone,Email,Lat-Long
5090,"Social Communications Media Department, Sophia Smt. Manorama Devi Somani College",College,Mumbai,"Sophia College Ln, opp. Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026",,,"18.9709253,72.804113"
5091,"Government Urdu Junior College of Education For Women, Pune",College,Pune,"K.B, Hidayatullah road, New Modikhana, Azam Campus, Pune, Maharashtra 411001",,,"18.5031465,73.8734939"
5092,"College of Education, Navi Mumbai",College,Mumbai,,,,
5093,Shri Jain Vidya Prasarak Mandal Adhyapak Mahavidyalaya,College,Pune,"JQMH+M2J, Fattechand Marg Chinchwad, Gaon, Akurdi, Pune, Maharashtra 411033",,,"18.6342076,73.7749445"
5094,Zen Technologies,College,Pvt,,,,
5095,Inkscool Tattoo Training Institute And Studio Pune,College,Pune,"No. 6, Bliss Apartment, Kedari Nagar Rd, Wanowrie, Pune, Maharashtra 411040",,,"18.4829777,73.8984243"
5096,Confidence Spoken English,College,Mumbai,,,,
5097,MUD Studio,College,Pune,"One mall, Shop number 118, first floor, sr. no. 22/2, Ravet, Pune, Maharashtra 412101",,,"18.6512845,73.7361811"
5098,"Institute of Science, Pune",College,Pune,,,,
5099,"College of Education For Women, Pune",College,Pune,,,,
5100,Healthcare Management Institute,College,Mumbai,,,,
5101,Tekno Point Multimedia,College,Mumbai,,,,
5102,Lords School of Management,College,Pvt,,,,
5103,GKTCS Innovations,College,Pune,"2nd, Suman Sudha, NDA Pashan Rd, Shri Krishna Nagar, Sagar Co-Operative Housing Society, Bavdhan, Pune, Maharashtra 411021",,,"18.5163837,73.7793026"
5104,Prym IT Education Centre,College,Mumbai,"Dattani Trade Centre, Off No 19A, Chandavarkar Rd, near Platform No3 and Gora Gandhi Fast Food Corner, Borivali West, Mumbai, Maharashtra 400092",,,"19.2309692,72.8540221"
5105,Charlie Media Institute,College,Pune,"Left from Ford Car Showroom, Charlie Studio, opp. Sant Rohidas Garden, opp. Kumar Pacific Mall, Pune, Maharashtra 411042",,,"18.5031374,73.8709466"
5106,Shivneri Adhyapak Mahavidyalaya,College,Pune,"6V2H+2X5, Junnar-Vadaj Rd , khanapur, Junnar, Maharashtra 410502",,,"19.2,73.8774251"
5107,Shri Khanderai Pratishthans College of Education,College,Pune,"S.No.4/1, 4/2 Balewadi, Pune, Maharashtra 411045",,,"18.5765977,73.7760426"
5108,Cummoo Jaffer Suleman College of Arts and Commerce for Women,College,Mumbai,"178, Kambekar St, Pydhonie, Mandvi, Mumbai, Maharashtra 400003",,,"18.9537301,72.8314503"
5109,"Maya Academy of Advanced Cinematics, Wanowrie",College,Pune,"144 Parmar Park Phase II Vitthalrao Shiverkar Road, Near Jagtap Chowk, above Janaseva Sahakari Bank, Wanowrie, Pune, Maharashtra 411040",,,"18.4941489,73.8971927"
5110,Audyogik Shikshan Mandals Institute of Professional Studies,College,Mumbai,"S. No. 29/1+2A, CTS No. 4695, Wing-B, Old Mumbai Rd, behind Sterling Honda Showroom, Pimpri Colony, Pune, Maharashtra 411018",,,"18.6321614,73.7968071"
5111,"Indira College of Arts, Commerce and Science",College,Mumbai,"Indira Unity Campus, 'Samanvay' S. No 85/5-B New, Tathawade, Mumbai Hwy, Tathawade, Pune, Maharashtra 411033",,,"18.6085999,73.7473856"
5112,"NIIT Imperia Centre for Advanced Learning, Pune",College,Pune,,,,
5113,Vidushi Gyaanpeeth,College,Pune,"411, Airport Rd, Siddheshwar Nagar, Kumar Samrudhi Society, Vishrantwadi, Pune, Maharashtra 411006",,,"18.5521178,73.8868958"
5114,"MIT School of Distance Education, Byculla",College,Mumbai,"No 12, Rd Number 7, Central Railway Colony, Dadar East, Dadar, Mumbai, Maharashtra 400014",,,"19.0173778,72.8471671"
5115,Abacus Institute of Computer Applications,College,Pune,"S.No 58, Indrayani Nagar, Handewadi Road, Hadapsar, Pune, Maharashtra 411028",,,"18.4717832,73.9357886"
5116,Jaro - Bharati Vidyapeeth Deemed University,College,Pune,,,,
5117,Samarth Dnyanpeeths Sahyadri shastra Mahavidyalaya,College,Pune,,,,
