Name,Sector,City,Address,Phone,Email,Lat-Long
Fit n Fun Fitness Studio,Gyms,Bangalore,"10+ years in business · 3rd floor, 11, above Reload, next to Top in Town Super market",Open ⋅ Closes 10 pm · 081230 99940,,
"Super Gym - Available on cult.fit - Gyms in Mahadevapura, Bangalore",Gyms,Bangalore,"3+ years in business · Mahalinga Complex, 1st Main Rd",Open ⋅ Closes 10:30 pm · 097409 70749,,
JAGUAR FITNESS MARUTHINAGAR,Gyms,Bangalore,3+ years in business · Maruthi Nagar Main Rd,Open ⋅ Closes 11:30 pm,,
"Cult Kalyan Nagar - Gyms in Hrbr Layout 3rd Block, Kalyan Nagar, Bangalore",Gyms,Bangalore,"5+ years in business · Cult Kalyan Nagar, 3rd floor, Above Absolute Barbecue Roseline Landmark, 5th B Cross Road",Open ⋅ Closes 10 pm,,
"Zest Fitness Studio - HSR Layout Gym, Bangalore",Gyms,Bangalore,"818, 2nd 3rd and 4th floor, 27th Main Rd, opposite to Liberty Exclusive Showroom",Open ⋅ Closes 11 pm · 098457 43430,,
4th station gym,Gyms,Bangalore,"7+ years in business · 86,Ashiana,1st floor",Open ⋅ Closes 10 pm · 091484 34838,,
Fitness World Gym,Gyms,Bangalore,"15+ years in business · 5, Dodda Banaswadi Main Rd, above Srinidhi Upachar Hotel",Open ⋅ Closes 9:30 pm · 093412 20971,,
Mario's Fitness Bangalore,Gyms,Bangalore,"3rd Floor, above Aprilla/Vespa showroom, next to Patel Public School",Open ⋅ Closes 10 pm · 099002 35657,,
Silhouette Fitness,Gyms,Bangalore,"5+ years in business · 2462, 24th Cross Rd",Open ⋅ Closes 11 pm · 097409 31931,,
"Cult Banashankari - Gyms in Banashankari, Bangalore",Gyms,Bangalore,"5+ years in business · 5th Block, 113, Outer Ring Rd",Open ⋅ Closes 10 pm,,
Rock Fitness Gym,Gyms,Bangalore,"5+ years in business · 778, SRS Rd",Open ⋅ Closes 10 pm · 090364 05752,,
Finix Fitness Basavanagudi,Gyms,Bangalore,"5+ years in business · Kodandrama Complex, No:106, 1st Floor, Kodandarama Complex Gandhi Bazaar, Basavanagudi Above Vijaya Bank, Gandhi Bazaar Main Rd, next to Poorvika Mobile Showroom",Open ⋅ Closes 10 pm · 082175 00205,,
Falcon fitness 24/7,Gyms,Bangalore,"2nd floor, J M capital, No. 63, Post, opp. to Indian oil petrol bunk",Open ⋅ Closes 11 pm · 099725 28242,,
Steve's Gym,Gyms,Bangalore,"10+ years in business · 23, Wheeler Rd, Coxtown",Open ⋅ Closes 9:30 pm · 098440 33487,,
"Cult Yelahanka - Gyms in Yelahanka, Bangalore",Gyms,Bangalore,"5+ years in business · 1st A Main Road, Opposite State Bank of India, Yelahanka New Town, 353, near Yelahanka",Open ⋅ Closes 10 pm,,
"Cult Marathahalli ORR - Gyms In Marathahalli, Bangalore",Gyms,Bangalore,"3+ years in business · 2nd Floor, Raja Ikon, Cult Marathalli ORR, Marathahalli - Sarjapur Outer Ring Rd",Open ⋅ Closes 10 pm · 099164 73154,,
One Fitness,Gyms,Bangalore,"10+ years in business · 3rd floor, 13, Mosque Rd",Open ⋅ Closes 10 pm · 099805 22000,,
Cult Gym Banaswadi Bangalore,Gyms,Bangalore,"3+ years in business · 1st & 2nd Floor,Kasturi Nagar, 5th Cross Rd",Open ⋅ Closes 10 pm,,
BURN & FLEX FITTNESS,Gyms,Bangalore,"3+ years in business · 136-137, 8th Main Rd",Open ⋅ Closes 10:30 pm · 080950 60259,,
"Mani's core fit - Available on cult.fi - Gym in Malleshwaram, Bengaluru",Gyms,Bangalore,"3+ years in business · 3rd Cross Rd Plot 10A, Second & Third Floor",Open ⋅ Closes 9 pm · 089044 17935,,
Fitness 24/7,Gyms,Bangalore,"5+ years in business · #72, 2nd Floor, 16th Main Road, Mahendra Towers, Service Rd, next to Bata Showroom",Open ⋅ Closes 11 pm · 096112 33133,,
Temple Fitness Gym,Gyms,Bangalore,"3+ years in business · No 10, 2nd Floor, 60 Feet Road, 5th Cross Rd",Open ⋅ Closes 10:30 pm · 099728 79932,,
NO LIMITS FITNESS,Gyms,Bangalore,"3+ years in business · 4th floor, SLV Towers, 607, 80 Feet Rd",Open ⋅ Closes 10 pm · 097381 54841,,
Spartans Fitness Studio,Gyms,Bangalore,"45, Old Race Course Rd, above Iyengars Bakery",Open ⋅ Closes 10:30 pm · 087929 22003,,
GOLDSTAR FITNESS,Gyms,Bangalore,"5+ years in business · 91, 19th Main Road",Open ⋅ Closes 10 pm · 098450 71474,,
Pyro Fitness,Gyms,Bangalore,"7+ years in business · 2nd Floor, Jayavani's, Ishwerya Towers, Meanee Ave Rd, opp. Lakeside Hospital",Open ⋅ Closes 10 pm · 080 4157 1272,,
"Cult Sahakar Nagar - Gyms in Sahakar Nagar, Bangalore",Gyms,Bangalore,"5+ years in business · 1st & 2nd Floor, Sahakara Nagar Main Rd",Open ⋅ Closes 10 pm · 1800 572 6303,,
Fitness Goals,Gyms,Bangalore,7+ years in business · VP Deenadayalu Naidu Rd,Open ⋅ Closes 11 pm · 099160 03611,,
"SHRED Fitness - Available on cult.fit - Gyms in Frazer Town, Bengaluru",Gyms,Bangalore,"3+ years in business · Coles Rd No. 55, Second Floor, above Icici Bank",Open ⋅ Closes 11 pm · 070190 31564,,
Rzee Fitness,Gyms,Bangalore,"2nd Floor, No 79/4, 1st Cross Rd",Open ⋅ Closes 11 pm · 097393 27801,,
RESET Koramangala,Gyms,Bangalore,"3+ years in business · 501, 6th Cross Rd",Open ⋅ Closes 10:30 pm · 063600 90000,,
Whitefield Total Fitness,Gyms,Bangalore,"10+ years in business · 2nd Floor, MCC Arcade, Varthur Road, Opp to Virgina Mall, 5/2A, SH 35",Open ⋅ Closes 10:30 pm · 098862 01919,,
iFitness,Gyms,Bangalore,"7+ years in business · No. 126, Chabria Square, Kengal Hanumanthaiah Rd",Open ⋅ Closes 10:30 pm · 080 4149 5014,,
"Play On Fitness - Available on cult.fit - Gym in HSR Layout, Bengaluru",Gyms,Bangalore,"3+ years in business · 2562, First & Second Floor, 14th Cross Rd",Open ⋅ Closes 11 pm · 099720 96268,,
Quadz Fitness Sadashivanagar,Gyms,Bangalore,"3+ years in business · 1st Floor, Esteem Plaza, 13th Cross Rd, next to JustBe Resto Cafe, opposite to PEPPERFRY",Open ⋅ Closes 10 pm · 088846 50334,,
EXCEL FITNESS CENTER,Gyms,Bangalore,3+ years in business · VP Deenadayalu Naidu Rd,Open ⋅ Closes 10 pm · 085538 47351,,
GYM,Gyms,Bangalore,"5+ years in business · XHCH+VXW, Hospital Rd",Open ⋅ Closes 10 pm,,
The Sun Fitness,Gyms,Bangalore,3+ years in business · 560037,Open ⋅ Closes 10 pm · 081520 21967,,
Gold's Gym,Gyms,Bangalore,"7+ years in business · Sai Sharan Heights, No-78, 4th Main, 15th Cross Rd",Open ⋅ Closes 10 pm · 089718 01100,,
"Cult Kanakapura Road - Gyms in Kanakapura Road, Bangalore",Gyms,Bangalore,"3+ years in business · 3rd floor, opp Brand Factory, Anjanapura Main Rd, Kanakapura Rd",Open ⋅ Closes 10 pm,,
